"[HOW TO USE THIS TABLE]
company","is it
aging
?",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage / pipeline (as of Jun'22),Tx or Dx,"Aging Biotech
 .info company
categories","hallmarks
of aging",SENS damage categories,diseases / indications,species (humans implied),clin. trials (as of Jun'22),modalities,regulatory category,"team/principals
(esp. scientific)",advisors (scientific),contact info,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI (as of May'22),year founded,priv. fund. stage,notable investors,tot. raised ($M) (as of Jun'22),other relations,lead product(s),publications,as of (last full row update),add date if after Oct 2019,notes
"1E Therapeutics
(was Hanako)","yes 
(see notes)",operating,"RNA-targeting therapeutics for oncology, agingDs, more; antisense oligonucleotide–based senolytics",pre-clinical,Tx,senescence,senescence,"senescence, cancer",cancer,,,oligonucleotides,pharma,,Ido Bachelet,info@1etx.com,Israel,no,,,,,34,2020,Seed,Marius Nacht,$120,,,,2022-06-06,2019-11-13,"Launched as Hanako bio w/ a focus on senescent cells. Now renamed 1E.  Website currently unclear on focus area, but seems to qualify here based on: (1) listed as ""Antisense oligonucleotide–based senolytics"" in 2020 Nature ""Send in the Senolytics"" article & (2) seed funding article notes focus on ""oncology, age-related diseases, immunology"" among others."
5 Alarm Bio,yes,operating,drugs to boost natural cell defenses against damaging chemicals that arise naturally & accumulate w/ age,pre-clinical,Tx,proteostasis,proteostasis,ex-cell aggregates?,chronic would healing,,,small molecules,pharma,"Janette Thomas, William Bains","João Pedro de Magalhães , 
Barry Bentley",william@fivealarmbio.com,"Cambridge, UK",no,,,,,2,2016,,,,,,,2022-06-17,,"Won £360,000 Biomedical Catalyst grant from InnovateUK (Feb'22)."
712 North Inc,yes,operating,personalized mitochondrial medicines by drugging proteases of mito inner membrane,pre-clinical,Tx,mitochondria,mitochondria,mitochondria,"AD, cancer, glaucoma,
CVD, unspecificed orphan pediatric disease",,,,pharma,Marcel Alavi,,,San Francisco,no,,,,,2,2016,,,,QB3,,papers,2019-09-04,,
ADx Neurosciences,only brain,operating,"B2B antibodies for biomarkers of neuroDs: Aβ, tau, synuclein; for use in therapeutics development & trials",commercial,Dx,proteostasis,proteostasis,ex-cell aggregates,"AD, PD, TBI",,,n/a,n/a,"Koen Dewaele, Paul Appermont, Eugeen Vanmechelen",,form,Belgium,no,,,,,24,2011,,,$43,,list,papers,2022-06-19,2022-06-19,Being acquired by Fujirebio Holdings for 40M euros.
Aelan Cell Technologies,yes,operating,stem cell technology for health & longevity,pre-clinical,Tx,stem cells,stem cells,cell loss,"cancer, cosmetics",,,,,link,link,Contact@AelanCT.com,San Francisco,no,,,,,4,2015,,,,,,several papers,2021-05-06,2021-05-06,
"Aeovian
(was Aeonian)",yes,operating,selective mTORC1 inhibition,pre-clinical,Tx,metabolism / mTOR,nutri-sense,,,,,small molecule,pharma,"Stelios Tzannis, Curtis Scribner","Ian Massey, David Lowe, Dudley Lamming, Mustafa Sahin, Jacqueline French",form,San Francisco,no,,,,,11,2012,raised A,"Apollo, venBio, Sofinnova",$37,,AE116,publications,2019-10-08,,
Age Labs,yes,operating,ML on epigenetic datasets f/ biobanks for biomarkers & reports on epigenetic drug effects in clinical trials.,commercial,Dx,"epigenetic, clock",epigenetic,,,,,blood test,unreg test,"Espen Riskedal, Arne Soraas, Karl Kalleberg",,,"Oslo, Norway",no,,,,,6,2017,,,,Norway,,papers,2019-09-04,,
AgeX Ther. / Reverse Bio,yes,operating,allogeneic stem cells w/ tech for stable engraftment & low immunogenicity; tissue regeneration drugs,pre-clinical,Tx,"stem cells, epigenetic","stem cells, epigenetic",cell loss,"IHD, T2D, CHF, scarless healing",,,"cell therapy, small molecules",pharma,"Mike West, Aubrey de Grey",,,San Francisco,yes,AGE,,$21,12,13,2017,,"Juvenescence, Jim Mellon, John Mauldin, Kizoo",,Juvenescence,"VASC1, BAT1, iTR1547, Renelon",,2020-01-29,,AgeX has spun its iTR (reprogramming) work into a subsidiary called Reverse Bioengineering.
Amazentis,yes,operating,nutraceutical Urolithin A for mitochondria health (triggers mitophagy),commercial,Tx,mitochondria,mitochondria,mitochondria,,,11,nutraceuticals,supplement,"Chris Rinsch, Anurag Singh, Pénélope Andreux","Patrick Aebischer, Johan Auwerx, Carmen Sandi, Navindra Seeram, Michel Aguet, Eric Verdin",contact@amazentis.com,Switzerland,no,,,,,21,2007,,,$8.9,,MitoPure,,2022-06-30,2022-06-30,
Alchemab Therapeutics,yes,operating,"drug discovery based on sequencing antibodies of immune individuals, for cancer, neuroDs & infections",pre-clinical,Tx,,,,"AD, cancer, Covid",,,,,link,link,info@alchemab.com,London,no,,,,,56,2019,raised A,"RA Cap Man, SV Health Investors, Dementia Discovery Fund",$83,,,,2021-05-11,2021-05-11,See this piece for discussion of the platform's relationship to longevity.
Alector,"only
brain",operating,immuno-neurology: modulate immune system to cure dementias w/ based on insights from genetics,ph.3 trials,Tx,proteostasis,proteostasis,ex-cell aggregates,"AD, FTD, cancer",,8,biologics,pharma,"Arnon Rosenthal, Robert Paul","Adam Boxer, Marco Colonna, Stephen Hauser, Michael Heneka, Lewis Lanier, Liqun Luo, Richard Scheller, Thomas Christian Südhof, Robert Vassar, Berislav Zlokovic",,San Francisco,yes,ALEC,,$753,101,246,2013,,"Orbimed, Polaris, GV, Merck, MBC, AbbVie, Amgen",,AbbVie,"AL001, AL101, AL002, AL003",many papers,2019-09-18,,
"Alixia 
(reboot of Guided Clarity?)","yes 
(see notes)",operating,"disrupt metabolic microenvironment of cancer & quasi-cancer cells for ""multiple age-related diseases""",pre-clinical,Tx,"DNA, metabolism?","DNA, nutri-sense?",cancer,"cancer, neuroDs, inflammation",,,,,"Helen Chen, Olof Mollstedt",,form,San Francisco,no,,,,,2,2022,,"YC, StartX",,,,,2022-06-02,,"Appears to be a new company from the same team rather than just a re-naming of former company Guided Clarity based on founders LinkedIn pages, though gclarity.com redirects to Alixia.com now. Big cancer focus on homepage but claims to be able to address multilpe aging diseases. Also, Guided Clarity involved mitochondria & mitophagy---is any of the science the same?"
Alkahest,yes,operating,"leads from blood proteins that go up or down with age, eg young blood fractions",ph.2 trials,Tx,signals / factors,cell comm,,"AD, PD, (wet) AMD, ESRD MCI",,13,"drugs, biologics,
blood fractions",pharma,"Karoly Nikolich, Steven Braithwaite","Tony Wyss-Coray, Jeffrey Cummings, Lennart Mucke, Thomas Rando, Eric Reiman, Lee Rubin, Elia Stupka, Saul Villeda",info@alkahest.com,San Francisco,no,,,,,91,2014,acquired,"Grifols, MJFox Found",$50,Grifols,"AKST4290, AKST/GRF6019/6021, AKST1210",papers,2020-09-10,,"Aquired by Grifols (remaining 55% for $146M) Sep'20, but website still operating indepedently."
Altoida,"only
brain",operating,"augmented reality & AI mobile app 10min cognitive test, FDA cleared & covered by Medicare",commercial,Dx,proteostasis?,proteostasis?,ex-cell aggregates?,"AD, other MCI",,5,mobile app,reg Dx (SaMD),"Richard Fischer, Ioannis Tarnanas","Walter Greenleaf, Jon VanLeeuwen, Phil Polakoff",contact@altoida.com,Houston,no,,,,,30,2016,raised A,"M Ventures (Merck), Fyrfly",$25,,NMI (Neuro Motor Index),peer reviewed paper,2019-07-22,,
Altos Labs,yes,operating,"cell rejuvenation by partial/epigenetic reprogramming; big & academic-like: aiming to be ""Bell Labs"" of bio",pre-clinical,"Tx, Dx",epigenetic,epigenetic,,,,,,pharma,"Hal Barron, Rick Klausner, Hans Bishop, Ann Lee-Karlon, Juan Carlos Belmonte, Wolf Reik, Peter Walter, Thore Graepel",Shinya Yamanaka,info@altoslabs.com,"San Diego, San Francisco, Cambridge, UK",no,,,,,135,2021,big special raise ,"Jeff Bezos, ARCH","$3,000",,,,2022-06-19,2022-06-19,"Roughly 20 senior professor / PI level investigators/researchers, listed on home page."
Amprion,"only
brain",operating,"amplification of misfolded proteins for sensitive detection in CSF & blood, for αS (1st), Aβ, tau",commercial,Dx,proteostasis,proteostasis,ex-cell aggregates,"PD, AD",,,CSF,reg test? device?,"Russ Lebovitz, Claudio Soto, Luis Concha",,Info@AmprionMe.com,"San Diego, San Francisco",no,,,,,22,2007,,,,,,,2019-09-30,,Breakthrough device designation from FDA in May 2019 for alpha-Synuclein. Not to be confused with the Germany electrical grid company of the same name.
Animal Biosciences,yes,operating,healthy longevity for dogs focused on cell senescence & NAD,pre-vet-clinical,Tx,"senescence, 
mitochondria / NAD+","senescence, mitochondria","senescence, mitochondria",,dogs,,"small molecules, supplemens",veterinary,"Doug Korn, Nick Sinclair",,form,Boston,no,,,,,2,2017,,Life Bio,,,,,2019-10-08,,
Aspen Neuroscience,yes,operating,"personalized cell therapies: autologous iPSCs, 1st for neuron replacement for PD",pre-clinical,Tx,stem cells,stem cells,cell loss,PD,,,cell therapy,pharma,"Damien Mcdevitt, Edward Wirth, Andres, Bratt-Leal, Xiaokui Zhang",list,form,San Diego,no,,,,,53,2018,raised B,GV,$224,,,,2022-06-19,2022-06-19,
Athersys Inc,yes,operating,"allogeneic stem cells for neuro, inflammatory, immune, & CV diseases",ph.3 trials,Tx,stem cells,stem cells,cell loss,"neuroDs, CVD, others",,11,cell therapy,pharma,"Gil Van Bokkelen, John Harrington, William (BJ) Lehmann, Robert (Willie) Mays, Anthony Ting",,info@athersys.com,"Cleveland, OH",yes,ATHX,,$8,75,103,1995,,,,,MultiStem,,2019-07-11,,
Atropos Therapeutics,yes,operating,"drug platform for modulators of entering senescence, for aging (suppress) & cancer (stimulate) ",pre-clinical,Tx,senescence,senescence,senescence,"cancer, progeroidDs,
undecided agingDs",,,small molecules?,pharma,"Andrew Koff, Nathanie Trisnadi","Jan Vijg, John Sedivy, William Tap, John Petrini, Oliver Stauch, Teresa Calarco",info@atroposthera.com,San Francisco,no,,,,,5,2018,,,,"QB3,
Atomwise",,some relevant papers,2020-02-04,,Sept'19 announced partnership with Atomwise to do AI for drug discovery for cancer via senescence modulation.
Beiwe Health,yes,operating,"non-rapalog mTORC1 inhibitors using new site on mTOR, for aging & cancer (esp. glioblastoma) ",ph.1 trials,Tx,metabolism / mTOR,nutri-sense,,cancer,,,,pharma,"Sonia Allen, Alexey Tomilov, Gino Cortopassi",,form,"Sacramento, CA",no,,,,,1,2018,,,,,,,2020-03-02,2020-03-02,Not to be confused with beiwe.org a digital phenotyping app (see also https://www.hsph.harvard.edu/onnela-lab/beiwe-research-platform/).
BHB Therapeutics,yes,operating,beta-hydroxybutyrate (BHB),"commercial?
pre-clinical?",Tx,,,,,,,,,,Eric Verdin? John Newman?,,,no,,,,,0,2018,raised seed,Juvenescence,$3,Juvenescence,,,2020-03-02,2020-03-02,Does BHB power Juvenescence's supplement(s)? Or is it a pre-clinical program?
BioAge Labs,yes,operating,"human 20+yr biobanks + multiomics + AI drug platform; leads: HIF signaling, PGD2 DP1 for immune aging",ph.2 trials,Tx,,,,"muscleDs,
immuneDs, COVID-19",,3,drugs,pharma,"Kristen Fortney, Eric Morgen, Paul Rubin, Klaus Klumpp, Robert Hughes, Justin Rebo","George Hartman, Elad Gil, Joe Betts-Lacroix, Eric Verdin, Peter Dilaura, ...",info@bioagelabs.com,San Francisco,no,,,,,66,2015,raised C,"Felicis, Andreessen Horowitz, Khosla, AME Cloud, Pear, Redpoint, Caffeinated Captial, Elad Gil",$124,,"BGE117,
BGE-175",paper (not core),2020-08-30,,
BioChange ltd,yes,operating,ECM-mimicing injectable scaffold for tissue regeneration,"pet commercial, 
pre-clinical",Tx,ECM or AGEs,,cell loss,,,,,,,,info@biochange.life,Israel,no,,,,,9,2017,,,,,,,,2021-05-02,
Biophytis,yes,operating,drug discovery platform for aging based on plant secondary metabolites,ph.2 trials,Tx,,,,"sarcopenia, AMD, MD",,3,small molecules,pharma,"Stanislas Veillet, Rene Lafont, Samuel Agus, Pierre Dilda, Waly Dioh","Jean Mariani, Roger Fielding, Thomas Voit, Jose-Alain Sahel, Ivana Kim",form,Paris,yes,ALBPS.PA,EPA:ALBPS,$10,30,25,2006,,,,,"Sarconeos (BIO101), Macuneos (BIO201)",several papers & posters,2019-07-11,,
Bioquark,yes,operating?,"biologics for regeneration, repair, degenerative diseases w/ leads from regenerative animals",ph.1 trials,Tx,,,,"cancer, kidneyDs,
neuroDs, brain death",,1,"biologics, cell therapy",pharma,"Ira Pastor, Sergei Paylian","Calixto Machado, Melisa Cooper, Alejandro Mesples, Nikolai Skiba",form,"Philadelphia, Tampa",no,,,,,7,2007,,,,,BQ-A,two (see bottom),2019-07-28,,Website not responding as of 2022-06-01 but Ira & Sergei still list this as active in LinkedIn.
Biosens,yes,operating,"targeting muscle/bone, cognition, & cell senescence with a variety of paths to market","pre-commercial, 
pre-clinical",Tx,senescence,senescence,senescence,,,,,"supplement,
cosmetic, ?","Dennis Cortez, Francesca Grecco",,form,"Germany; Manchester, UK",no,,,,,2,2019,raising seed,,,,,,2021-05-11,2021-05-11,Why is the website a .org?
Biosplice (was Samumed),yes,operating,"small molecule Wnt pathway modulation to target root causes of varied diseases, many age-related",ph.3 trials,Tx,stem cells?,stem cells?,cell loss?,"OA, IPF, cancer, AD, others",,21,small molecules,pharma,"Osman Kibar, Yusuf Yazici, Mark Fineman, Sunil KC","John Bergfeld, Wilma Bergfeld, Allan Gibofsky, Morgan Jones, Nancy Lane, Rik Lories, Toby Maher, Timothy McAlindon, William Mobley, Daniel Von Hoff",info@samumed.com,San Diego,no,,,,,85,2008,,"Starling, Vickers",$799,,lorecivivint (SM04690),several inc. peer reviewed,2019-07-22,,
BioViva,yes,operating,"platform for health tests & treatments (via partners) w/ focus on gene & cell therapies, also counseling",commercial,,,,,,,,,,"Elizabeth Parrish, Jason Williams, Anca Selariu, Mitch Fernandez, David Kekich","George Church, Bill Zheng, Anders Sandberg, John Schloendorn, Ali Fallah, Aubrey de Grey, Matthew Scholz, Hernando Ramirez Llinas",form,Seattle,no,,,,,11,2015,,,,Integrated Health Systems,,,2019-08-13,,"CEO Parrish underwent out-of-USA gene therapy to extend her telomeres w/ hTERT and for myostatin inhibition then claimed positive results, back when company focus was more directly telomere extension therapy. See also https://en.wikipedia.org/wiki/BioViva"
